Name,Median Household Income
"Fairfield County, Ohio",61291
"Fayette County, Ohio",45120
"Franklin County, Ohio",53882
"Fulton County, Ohio",60339
"Gallia County, Ohio",37212
"Geauga County, Ohio",75895
"Greene County, Ohio",59803
"Guernsey County, Ohio",41860
"Hamilton County, Ohio",50990
"Hancock County, Ohio",54709
"Hardin County, Ohio",42453
"Henry County, Ohio",58820
"Highland County, Ohio",38506
"Hocking County, Ohio",42730
"Holmes County, Ohio",57094
"Huron County, Ohio",47616
"Jackson County, Ohio",43515
"Jefferson County, Ohio",44194
"Knox County, Ohio",50042
"Lake County, Ohio",60810
"Lawrence County, Ohio",36838
"Licking County, Ohio",59883
"Logan County, Ohio",48861
"Lorain County, Ohio",52373
"Lucas County, Ohio",42594
"Madison County, Ohio",68377
"Mahoning County, Ohio",41910
"Marion County, Ohio",40607
"Medina County, Ohio",69989
"Meigs County, Ohio",39132
"Mercer County, Ohio",55307
"Miami County, Ohio",49156
"Montgomery County, Ohio",46561
"Morrow County, Ohio",52207
"Muskingum County, Ohio",42815
"Ottawa County, Ohio",59694
"Perry County, Ohio",42358
"Pickaway County, Ohio",61618
"Pike County, Ohio",35868
"Portage County, Ohio",52835
"Preble County, Ohio",50939
"Putnam County, Ohio",57611
"Richland County, Ohio",45155
"Ross County, Ohio",44907
"Sandusky County, Ohio",49848
"Scioto County, Ohio",35833
"Seneca County, Ohio",50268
"Shelby County, Ohio",62529
"Stark County, Ohio",48819
"Summit County, Ohio",51309
"Trumbull County, Ohio",42368
"Tuscarawas County, Ohio",47331
"Union County, Ohio",77116
"Van Wert County, Ohio",52602
"Warren County, Ohio",81017
"Washington County, Ohio",42115
"Wayne County, Ohio",52760
"Williams County, Ohio",48737
"Wood County, Ohio",57027
"Wyandot County, Ohio",51012
"Adair County, Oklahoma",31028
"Beckham County, Oklahoma",36479
"Bryan County, Oklahoma",42125
"Caddo County, Oklahoma",48998
"Canadian County, Oklahoma",62045
"Carter County, Oklahoma",45203
"Cherokee County, Oklahoma",44784
"Cleveland County, Oklahoma",59336
"Comanche County, Oklahoma",47587
"Creek County, Oklahoma",46665
"Custer County, Oklahoma",47336
"Delaware County, Oklahoma",39485
"Garfield County, Oklahoma",48222
"Garvin County, Oklahoma",49349
"Grady County, Oklahoma",53735
"Jackson County, Oklahoma",45743
"Kay County, Oklahoma",43497
"Le Flore County, Oklahoma",38781
"Lincoln County, Oklahoma",48120
"Logan County, Oklahoma",56462
"McClain County, Oklahoma",52312
"McCurtain County, Oklahoma",30986
"McIntosh County, Oklahoma",35621
"Mayes County, Oklahoma",47874
"Muskogee County, Oklahoma",41016
"Oklahoma County, Oklahoma",49693
"Okmulgee County, Oklahoma",40576
"Osage County, Oklahoma",41787
"Ottawa County, Oklahoma",35768
"Payne County, Oklahoma",39840
"Pittsburg County, Oklahoma",44978
"Pontotoc County, Oklahoma",46984
"Pottawatomie County, Oklahoma",43317
"Rogers County, Oklahoma",63041
"Seminole County, Oklahoma",40508
"Sequoyah County, Oklahoma",35502
"Stephens County, Oklahoma",44819
"Texas County, Oklahoma",50903
"Tulsa County, Oklahoma",51287
"Wagoner County, Oklahoma",57319
"Washington County, Oklahoma",51941
"Woodward County, Oklahoma",62500
"Benton County, Oregon",52852
"Clackamas County, Oregon",69629
"Clatsop County, Oregon",47770
"Columbia County, Oregon",49901
"Coos County, Oregon",38351
"Crook County, Oregon",43395
"Curry County, Oregon",36020
"Deschutes County, Oregon",57373
"Douglas County, Oregon",41428
"Hood River County, Oregon",54098
"Jackson County, Oregon",43948
"Jefferson County, Oregon",39818
"Josephine County, Oregon",41493
"Klamath County, Oregon",43952
"Lane County, Oregon",47318
"Lincoln County, Oregon",40807
"Linn County, Oregon",47527
"Malheur County, Oregon",37380
"Marion County, Oregon",52047
"Multnomah County, Oregon",59231
"Polk County, Oregon",54970
"Tillamook County, Oregon",45695
"Umatilla County, Oregon",49472
"Union County, Oregon",49583
"Wasco County, Oregon",43933
"Washington County, Oregon",70447
"Yamhill County, Oregon",51084
"Adams County, Pennsylvania",61023
"Allegheny County, Pennsylvania",54467
"Armstrong County, Pennsylvania",44477
"Beaver County, Pennsylvania",50128
"Bedford County, Pennsylvania",46465
"Berks County, Pennsylvania",56122
"Blair County, Pennsylvania",45432
"Bradford County, Pennsylvania",48983
"Bucks County, Pennsylvania",80575
"Rock County, Wisconsin",53777
"St. Croix County, Wisconsin",71449
"Sauk County, Wisconsin",51638
"Shawano County, Wisconsin",51141
"Sheboygan County, Wisconsin",57047
"Taylor County, Wisconsin",48208
"Trempealeau County, Wisconsin",54332
"Vernon County, Wisconsin",49737
"Vilas County, Wisconsin",40402
"Walworth County, Wisconsin",58537
"Washington County, Wisconsin",69713
"Waukesha County, Wisconsin",77761
"Waupaca County, Wisconsin",55459
"Waushara County, Wisconsin",51227
"Winnebago County, Wisconsin",52136
"Wood County, Wisconsin",50796
"Albany County, Wyoming",44243
"Campbell County, Wyoming",82734
"Fremont County, Wyoming",54135
"Laramie County, Wyoming",60599
"Natrona County, Wyoming",52886
"Park County, Wyoming",57124
"Sheridan County, Wyoming",60276
"Sweetwater County, Wyoming",67585
"Teton County, Wyoming",75185
"Uinta County, Wyoming",54583
"Aguada Municipio, Puerto Rico",14077
"Aguadilla Municipio, Puerto Rico",17467
"Aguas Buenas Municipio, Puerto Rico",14506
"Aibonito Municipio, Puerto Rico",19022
"Añasco Municipio, Puerto Rico",18204
"Arecibo Municipio, Puerto Rico",16033
"Barceloneta Municipio, Puerto Rico",16188
"Barranquitas Municipio, Puerto Rico",13585
"Bayamón Municipio, Puerto Rico",24810
"Cabo Rojo Municipio, Puerto Rico",15561
"Caguas Municipio, Puerto Rico",22686
"Camuy Municipio, Puerto Rico",14153
"Canóvanas Municipio, Puerto Rico",20239
"Carolina Municipio, Puerto Rico",27039
"Cataño Municipio, Puerto Rico",17126
"Cayey Municipio, Puerto Rico",19725
"Cidra Municipio, Puerto Rico",18960
"Coamo Municipio, Puerto Rico",21861
"Comerío Municipio, Puerto Rico",13149
"Corozal Municipio, Puerto Rico",10856
"Dorado Municipio, Puerto Rico",27655
"Fajardo Municipio, Puerto Rico",17039
"Guayama Municipio, Puerto Rico",17192
"Guayanilla Municipio, Puerto Rico",14964
"Guaynabo Municipio, Puerto Rico",36446
"Gurabo Municipio, Puerto Rico",32135
"Hatillo Municipio, Puerto Rico",16310
"Humacao Municipio, Puerto Rico",17353
"Isabela Municipio, Puerto Rico",15179
"Juana Díaz Municipio, Puerto Rico",17193
"Juncos Municipio, Puerto Rico",19570
"Lajas Municipio, Puerto Rico",10862
"Lares Municipio, Puerto Rico",11136
"Las Piedras Municipio, Puerto Rico",16917
"Loíza Municipio, Puerto Rico",20086
"Manatí Municipio, Puerto Rico",14017
"Mayagüez Municipio, Puerto Rico",13037
"Moca Municipio, Puerto Rico",12033
"Morovis Municipio, Puerto Rico",19094
"Naguabo Municipio, Puerto Rico",18698
"Naranjito Municipio, Puerto Rico",15856
"Orocovis Municipio, Puerto Rico",13678
"Peñuelas Municipio, Puerto Rico",15373
"Ponce Municipio, Puerto Rico",15418
"Quebradillas Municipio, Puerto Rico",16228
"Río Grande Municipio, Puerto Rico",21046
"Sabana Grande Municipio, Puerto Rico",14797
"Salinas Municipio, Puerto Rico",19161
"San Germán Municipio, Puerto Rico",14623
"San Juan Municipio, Puerto Rico",18933
"San Lorenzo Municipio, Puerto Rico",16029
"San Sebastián Municipio, Puerto Rico",11702
"Santa Isabel Municipio, Puerto Rico",18381
"Toa Alta Municipio, Puerto Rico",32618
"Toa Baja Municipio, Puerto Rico",23392
"Trujillo Alto Municipio, Puerto Rico",30338
"Utuado Municipio, Puerto Rico",16378
"Vega Alta Municipio, Puerto Rico",17347
"Vega Baja Municipio, Puerto Rico",18242
"Villalba Municipio, Puerto Rico",22202
"Yabucoa Municipio, Puerto Rico",14175
"Yauco Municipio, Puerto Rico",14239
"Butler County, Pennsylvania",68848
"Cambria County, Pennsylvania",44179
"Carbon County, Pennsylvania",57387
"Centre County, Pennsylvania",56337
"Chester County, Pennsylvania",90503
"Clarion County, Pennsylvania",37525
"Clearfield County, Pennsylvania",44666
"Clinton County, Pennsylvania",48125
"Columbia County, Pennsylvania",42599
"Crawford County, Pennsylvania",46574
"Cumberland County, Pennsylvania",63890
"Dauphin County, Pennsylvania",54232
"Delaware County, Pennsylvania",67584
"Elk County, Pennsylvania",44939
"Erie County, Pennsylvania",47386
"Fayette County, Pennsylvania",40495
"Franklin County, Pennsylvania",57960
"Greene County, Pennsylvania",52264
"Huntingdon County, Pennsylvania",44359
"Indiana County, Pennsylvania",46990
"Jefferson County, Pennsylvania",46082
"Juniata County, Pennsylvania",51780
"Lackawanna County, Pennsylvania",48518
"Lancaster County, Pennsylvania",59262
"Lawrence County, Pennsylvania",42921
"Lebanon County, Pennsylvania",52571
"Lehigh County, Pennsylvania",56452
"Luzerne County, Pennsylvania",50301
"Lycoming County, Pennsylvania",51455
"McKean County, Pennsylvania",46527
"Mercer County, Pennsylvania",47051
"Mifflin County, Pennsylvania",41641
"Monroe County, Pennsylvania",57318
"Montgomery County, Pennsylvania",83254
"Northampton County, Pennsylvania",62436
"Northumberland County, Pennsylvania",44989
"Perry County, Pennsylvania",54567
"Philadelphia County, Pennsylvania",41233
"Pike County, Pennsylvania",60975
"Schuylkill County, Pennsylvania",45810
"Snyder County, Pennsylvania",51774
"Somerset County, Pennsylvania",43660
"Susquehanna County, Pennsylvania",51479
"Tioga County, Pennsylvania",49137
"Union County, Pennsylvania",58674
"Venango County, Pennsylvania",46297
"Warren County, Pennsylvania",45200
"Washington County, Pennsylvania",58085
"Wayne County, Pennsylvania",52249
"Westmoreland County, Pennsylvania",53540
"Wyoming County, Pennsylvania",52018
"York County, Pennsylvania",58409
"Bristol County, Rhode Island",80125
"Kent County, Rhode Island",65931
"Newport County, Rhode Island",66026
"Providence County, Rhode Island",50565
"Washington County, Rhode Island",72453
"Abbeville County, South Carolina",31288
"Aiken County, South Carolina",47219
"Anderson County, South Carolina",43558
"Barnwell County, South Carolina",26324
"Beaufort County, South Carolina",60257
"Berkeley County, South Carolina",56548
"Charleston County, South Carolina",57079
"Cherokee County, South Carolina",32102
"Chester County, South Carolina",30355
"Chesterfield County, South Carolina",35841
"Clarendon County, South Carolina",37542
"Colleton County, South Carolina",31714
"Darlington County, South Carolina",33922
"Dillon County, South Carolina",28966
"Dorchester County, South Carolina",54521
"Edgefield County, South Carolina",47994
"Fairfield County, South Carolina",32152
"Florence County, South Carolina",40883
"Georgetown County, South Carolina",43158
"Greenville County, South Carolina",51908
"Greenwood County, South Carolina",43218
"Hampton County, South Carolina",28337
"Horry County, South Carolina",47541
"Jasper County, South Carolina",36375
"Kershaw County, South Carolina",47995
"Lancaster County, South Carolina",45676
"Laurens County, South Carolina",39474
"Lexington County, South Carolina",55227
"Marion County, South Carolina",29796
"Marlboro County, South Carolina",34969
"Newberry County, South Carolina",38189
"Oconee County, South Carolina",43266
"Orangeburg County, South Carolina",38596
"Pickens County, South Carolina",42449
"Richland County, South Carolina",51301
"Saluda County, South Carolina",40458
"Spartanburg County, South Carolina",45125
"Sumter County, South Carolina",41169
"Union County, South Carolina",30053
"Williamsburg County, South Carolina",26326
"York County, South Carolina",56359
"Brookings County, South Dakota",55220
"Brown County, South Dakota",51427
"Codington County, South Dakota",51590
"Lawrence County, South Dakota",54077
"Lincoln County, South Dakota",76533
"Meade County, South Dakota",55390
"Minnehaha County, South Dakota",54918
"Pennington County, South Dakota",52611
"Yankton County, South Dakota",45977
"Anderson County, Tennessee",42744
"Bedford County, Tennessee",43744
"Blount County, Tennessee",49134
"Bradley County, Tennessee",42922
"Campbell County, Tennessee",31796
"Carroll County, Tennessee",36168
"Carter County, Tennessee",33626
"Cheatham County, Tennessee",52433
"Claiborne County, Tennessee",35997
"Cocke County, Tennessee",26762
"Coffee County, Tennessee",43926
"Cumberland County, Tennessee",38078
"Davidson County, Tennessee",52026
"Dickson County, Tennessee",46990
"Dyer County, Tennessee",46348
"Fayette County, Tennessee",56275
"Franklin County, Tennessee",48784
"Gibson County, Tennessee",42137
"Giles County, Tennessee",40285
"Grainger County, Tennessee",37468
"Greene County, Tennessee",34768
"Hamblen County, Tennessee",37055
"Hamilton County, Tennessee",48580
"Hardeman County, Tennessee",39979
"Hardin County, Tennessee",36430
"Hawkins County, Tennessee",37348
"Henderson County, Tennessee",40402
"Henry County, Tennessee",37816
"Hickman County, Tennessee",41840
"Jefferson County, Tennessee",43052
"Knox County, Tennessee",52229
"Lauderdale County, Tennessee",31958
"Lawrence County, Tennessee",40649
"Lincoln County, Tennessee",41476
"Loudon County, Tennessee",48729
"McMinn County, Tennessee",35635
"McNairy County, Tennessee",37219
"Macon County, Tennessee",36644
"Madison County, Tennessee",47801
"Marion County, Tennessee",39931
"Marshall County, Tennessee",45781
"Maury County, Tennessee",50707
"Monroe County, Tennessee",34126
"Montgomery County, Tennessee",48659
"Morgan County, Tennessee",50036
"Obion County, Tennessee",40076
"Overton County, Tennessee",35695
"Putnam County, Tennessee",40623
"Rhea County, Tennessee",34507
"Roane County, Tennessee",41425
"Robertson County, Tennessee",53204
"Rutherford County, Tennessee",60043
"Scott County, Tennessee",35443
"Sevier County, Tennessee",42107
"Shelby County, Tennessee",47083
"Sullivan County, Tennessee",42012
"Sumner County, Tennessee",59753
"Tipton County, Tennessee",56385
"Warren County, Tennessee",40322
"Washington County, Tennessee",45484
"Weakley County, Tennessee",36481
"White County, Tennessee",39778
"Williamson County, Tennessee",102881
"Wilson County, Tennessee",64476
"Anderson County, Texas",41711
"Angelina County, Texas",49768
"Aransas County, Texas",38990
"Atascosa County, Texas",48947
"Austin County, Texas",66690
"Bandera County, Texas",56437
"Bastrop County, Texas",63129
"Bee County, Texas",44865
"Bell County, Texas",48908
"Bexar County, Texas",52286
"Bowie County, Texas",40662
"Brazoria County, Texas",71251
"Brazos County, Texas",44270
"Brown County, Texas",42532
"Burnet County, Texas",51195
"Caldwell County, Texas",45984
"Calhoun County, Texas",56048
"Cameron County, Texas",34074
"Cass County, Texas",37308
"Chambers County, Texas",67598
"Cherokee County, Texas",42543
"Collin County, Texas",86217
"Colorado County, Texas",47882
"Comal County, Texas",67363
"Cooke County, Texas",44988
"Coryell County, Texas",45998
"Dallas County, Texas",51799
"Denton County, Texas",75649
"DeWitt County, Texas",52548
"Ector County, Texas",65454
"Ellis County, Texas",68095
"El Paso County, Texas",43692
"Erath County, Texas",51256
"Fannin County, Texas",40578
"Fayette County, Texas",51944
"Fort Bend County, Texas",95389
"Gaines County, Texas",60572
"Galveston County, Texas",69190
"Gillespie County, Texas",49297
"Gonzales County, Texas",47714
"Gray County, Texas",44110
"Grayson County, Texas",48126
"Gregg County, Texas",47727
"Grimes County, Texas",38181
"Guadalupe County, Texas",64343
"Hale County, Texas",45097
"Hardin County, Texas",54868
"Harris County, Texas",56629
"Harrison County, Texas",42958
"Hays County, Texas",58870
"Henderson County, Texas",47906
"Hidalgo County, Texas",35730
"Hill County, Texas",45494
"Hockley County, Texas",48840
"Hood County, Texas",61521
"Hopkins County, Texas",42191
"Houston County, Texas",36473
"Howard County, Texas",45380
"Hunt County, Texas",46048
"Hutchinson County, Texas",41395
"Jasper County, Texas",50651
"Jefferson County, Texas",48005
"Jim Wells County, Texas",38988
"Johnson County, Texas",58758
"Kaufman County, Texas",58141
"Kendall County, Texas",67208
"Kerr County, Texas",48680
"Kleberg County, Texas",35556
"Lamar County, Texas",36572
"Lampasas County, Texas",49792
"Liberty County, Texas",55152
"Limestone County, Texas",41957
"Lubbock County, Texas",47897
"McLennan County, Texas",46602
"Matagorda County, Texas",41900
"Maverick County, Texas",37109
"Medina County, Texas",62093
"Midland County, Texas",81064
"Milam County, Texas",50344
"Montgomery County, Texas",71577
"Moore County, Texas",52297
"Nacogdoches County, Texas",39865
"Navarro County, Texas",40845
"Nueces County, Texas",50587
"Orange County, Texas",50429
"Palo Pinto County, Texas",42346
"Panola County, Texas",47468
"Parker County, Texas",67012
"Polk County, Texas",42799
"Potter County, Texas",40536
"Randall County, Texas",61984
"Rockwall County, Texas",90940
"Rusk County, Texas",50615
"San Jacinto County, Texas",34100
"San Patricio County, Texas",54966
"Shelby County, Texas",45219
"Smith County, Texas",49060
"Starr County, Texas",29822
"Tarrant County, Texas",60737
"Taylor County, Texas",48636
"Titus County, Texas",42219
"Tom Green County, Texas",48114
"Travis County, Texas",65269
"Tyler County, Texas",36349
"Upshur County, Texas",43710
"Uvalde County, Texas",38086
"Val Verde County, Texas",46325
"Van Zandt County, Texas",47555
"Victoria County, Texas",56545
"Walker County, Texas",40448
"Waller County, Texas",47158
"Washington County, Texas",52065
"Webb County, Texas",39774
"Wharton County, Texas",42313
"Wichita County, Texas",45416
"Willacy County, Texas",26987
"Williamson County, Texas",78311
"Wilson County, Texas",73183
"Wise County, Texas",54045
"Wood County, Texas",46412
"Box Elder County, Utah",55776
"Cache County, Utah",50518
"Carbon County, Utah",46879
"Davis County, Utah",72016
"Duchesne County, Utah",65761
"Iron County, Utah",44455
"Salt Lake County, Utah",65694
"Sanpete County, Utah",45345
"Sevier County, Utah",45631
"Summit County, Utah",91725
"Tooele County, Utah",68226
"Uintah County, Utah",71139
"Utah County, Utah",65487
"Wasatch County, Utah",78454
"Washington County, Utah",54913
"Weber County, Utah",59146
"Addison County, Vermont",59953
"Bennington County, Vermont",51582
"Caledonia County, Vermont",46668
"Chittenden County, Vermont",67997
"Franklin County, Vermont",62113
"Lamoille County, Vermont",59049
"Orange County, Vermont",55711
"Orleans County, Vermont",44193
"Rutland County, Vermont",52831
"Washington County, Vermont",56787
"Windham County, Vermont",50210
"Windsor County, Vermont",54673
"Accomack County, Virginia",38023
"Albemarle County, Virginia",70589
"Amherst County, Virginia",49687
"Arlington County, Virginia",106768
"Augusta County, Virginia",56766
"Bedford County, Virginia",54062
"Botetourt County, Virginia",58985
"Buchanan County, Virginia",26060
"Campbell County, Virginia",45901
"Caroline County, Virginia",52019
"Carroll County, Virginia",47764
"Chesterfield County, Virginia",75131
"Culpeper County, Virginia",67030
"Dinwiddie County, Virginia",52370
"Fairfax County, Virginia",113208
"Fauquier County, Virginia",91940
"Fluvanna County, Virginia",67083
"Franklin County, Virginia",49061
"Frederick County, Virginia",71993
"Gloucester County, Virginia",67330
"Goochland County, Virginia",85030
"Halifax County, Virginia",41513
"Hanover County, Virginia",82085
"Henrico County, Virginia",66085
"Henry County, Virginia",35437
"Isle of Wight County, Virginia",67051
"James City County, Virginia",73968
"King George County, Virginia",85520
"Lee County, Virginia",31538
"Loudoun County, Virginia",125003
"Louisa County, Virginia",56519
"Mecklenburg County, Virginia",29108
"Montgomery County, Virginia",52151
"New Kent County, Virginia",73386
"Orange County, Virginia",59816
"Page County, Virginia",40729
"Pittsylvania County, Virginia",41410
"Powhatan County, Virginia",78357
"Prince Edward County, Virginia",43463
"Prince George County, Virginia",60666
"Prince William County, Virginia",99766
"Pulaski County, Virginia",52851
"Roanoke County, Virginia",63210
"Rockbridge County, Virginia",45654
"Rockingham County, Virginia",51979
"Russell County, Virginia",38397
"Scott County, Virginia",37585
"Shenandoah County, Virginia",55682
"Smyth County, Virginia",38839
"Spotsylvania County, Virginia",75535
"Stafford County, Virginia",95882
"Tazewell County, Virginia",42797
"Warren County, Virginia",57423
"Washington County, Virginia",45405
"Wise County, Virginia",38125
"Wythe County, Virginia",42817
"York County, Virginia",84580
"Alexandria city, Virginia",90056
"Charlottesville city, Virginia",61775
"Chesapeake city, Virginia",67491
"Danville city, Virginia",32966
"Fairfax city, Virginia",117081
"Fredericksburg city, Virginia",50417
"Hampton city, Virginia",51867
"Harrisonburg city, Virginia",40520
"Hopewell city, Virginia",32372
"Lynchburg city, Virginia",39374
"Manassas city, Virginia",73682
"Newport News city, Virginia",48630
"Norfolk city, Virginia",45996
"Petersburg city, Virginia",29782
"Portsmouth city, Virginia",49242
"Richmond city, Virginia",39906
"Roanoke city, Virginia",39835
"Salem city, Virginia",45621
"Staunton city, Virginia",40831
"Suffolk city, Virginia",61203
"Virginia Beach city, Virginia",67281
"Waynesboro city, Virginia",43179
"Winchester city, Virginia",52496
"Asotin County, Washington",54245
"Benton County, Washington",62484
"Chelan County, Washington",56890
"Clallam County, Washington",44929
"Clark County, Washington",64275
"Cowlitz County, Washington",49949
"Douglas County, Washington",54464
"Franklin County, Washington",59664
"Grant County, Washington",51667
"Grays Harbor County, Washington",44122
"Island County, Washington",60532
"Jefferson County, Washington",56740
"King County, Washington",81916
"Kitsap County, Washington",66090
"Kittitas County, Washington",45530
"Klickitat County, Washington",47451
"Lewis County, Washington",48179
"Mason County, Washington",55891
"Okanogan County, Washington",45292
"Pacific County, Washington",38061
"Pierce County, Washington",60167
"Skagit County, Washington",57122
"Snohomish County, Washington",76251
"Spokane County, Washington",48525
"Stevens County, Washington",41271
"Thurston County, Washington",62137
"Walla Walla County, Washington",49870
"Whatcom County, Washington",55016
"Whitman County, Washington",41438
"Yakima County, Washington",47223
"Berkeley County, West Virginia",53548
"Boone County, West Virginia",36771
"Brooke County, West Virginia",47368
"Cabell County, West Virginia",38839
"Fayette County, West Virginia",36970
"Greenbrier County, West Virginia",39004
"Hampshire County, West Virginia",32270
"Hancock County, West Virginia",37284
"Harrison County, West Virginia",48285
"Jackson County, West Virginia",46718
"Jefferson County, West Virginia",69526
"Kanawha County, West Virginia",45028
"Lincoln County, West Virginia",34583
"Logan County, West Virginia",35557
"McDowell County, West Virginia",27065
"Marion County, West Virginia",44937
"Marshall County, West Virginia",57196
"Mason County, West Virginia",31174
"Mercer County, West Virginia",35054
"Mineral County, West Virginia",43025
"Mingo County, West Virginia",31816
"Monongalia County, West Virginia",45880
"Nicholas County, West Virginia",41220
"Ohio County, West Virginia",48833
"Preston County, West Virginia",46091
"Putnam County, West Virginia",58424
"Raleigh County, West Virginia",37262
"Randolph County, West Virginia",36350
"Upshur County, West Virginia",40991
"Wayne County, West Virginia",31843
"Wood County, West Virginia",39991
"Wyoming County, West Virginia",37819
"Adams County, Wisconsin",41968
"Barron County, Wisconsin",51390
"Brown County, Wisconsin",54802
"Calumet County, Wisconsin",70525
"Chippewa County, Wisconsin",52865
"Clark County, Wisconsin",50565
"Columbia County, Wisconsin",61171
"Dane County, Wisconsin",65202
"Dodge County, Wisconsin",55832
"Door County, Wisconsin",55933
"Douglas County, Wisconsin",50042
"Dunn County, Wisconsin",53483
"Eau Claire County, Wisconsin",51667
"Fond du Lac County, Wisconsin",57620
"Grant County, Wisconsin",51236
"Green County, Wisconsin",59367
"Iowa County, Wisconsin",58121
"Jackson County, Wisconsin",51901
"Jefferson County, Wisconsin",62399
"Juneau County, Wisconsin",45597
"Kenosha County, Wisconsin",55845
"Kewaunee County, Wisconsin",61430
"La Crosse County, Wisconsin",49933
"Lincoln County, Wisconsin",51179
"Manitowoc County, Wisconsin",50302
"Marathon County, Wisconsin",55687
"Marinette County, Wisconsin",49040
"Milwaukee County, Wisconsin",45859
"Monroe County, Wisconsin",53753
"Oconto County, Wisconsin",52323
"Oneida County, Wisconsin",50422
"Outagamie County, Wisconsin",59252
"Ozaukee County, Wisconsin",79048
"Pierce County, Wisconsin",61481
"Polk County, Wisconsin",54972
"Portage County, Wisconsin",57244
"Racine County, Wisconsin",57232
"Fayette County, Kentucky",51948
"Floyd County, Kentucky",28104
"Franklin County, Kentucky",51851
"Grant County, Kentucky",41551
"Graves County, Kentucky",37356
"Grayson County, Kentucky",36342
"Greenup County, Kentucky",46523
"Hardin County, Kentucky",49229
"Harlan County, Kentucky",27386
"Henderson County, Kentucky",42167
"Hopkins County, Kentucky",46652
"Jefferson County, Kentucky",51259
"Jessamine County, Kentucky",48049
"Johnson County, Kentucky",36436
"Kenton County, Kentucky",52043
"Knox County, Kentucky",31780
"Laurel County, Kentucky",37527
"Letcher County, Kentucky",26796
"Lincoln County, Kentucky",45970
"Logan County, Kentucky",45654
"McCracken County, Kentucky",51114
"Madison County, Kentucky",45383
"Marion County, Kentucky",39163
"Marshall County, Kentucky",51046
"Meade County, Kentucky",51209
"Mercer County, Kentucky",46881
"Montgomery County, Kentucky",36284
"Muhlenberg County, Kentucky",41112
"Nelson County, Kentucky",51404
"Ohio County, Kentucky",39640
"Oldham County, Kentucky",81569
"Perry County, Kentucky",31094
"Pike County, Kentucky",33321
"Pulaski County, Kentucky",41365
"Rowan County, Kentucky",26616
"Scott County, Kentucky",63526
"Shelby County, Kentucky",60903
"Taylor County, Kentucky",28743
"Warren County, Kentucky",44679
"Wayne County, Kentucky",28428
"Whitley County, Kentucky",34039
"Woodford County, Kentucky",51368
"Acadia Parish, Louisiana",40031
"Allen Parish, Louisiana",43427
"Ascension Parish, Louisiana",76632
"Assumption Parish, Louisiana",57526
"Avoyelles Parish, Louisiana",33598
"Beauregard Parish, Louisiana",41944
"Bossier Parish, Louisiana",56140
"Caddo Parish, Louisiana",41040
"Calcasieu Parish, Louisiana",45767
"Concordia Parish, Louisiana",31094
"De Soto Parish, Louisiana",40776
"East Baton Rouge Parish, Louisiana",50519
"Evangeline Parish, Louisiana",30651
"Franklin Parish, Louisiana",36729
"Grant Parish, Louisiana",40652
"Iberia Parish, Louisiana",46365
"Iberville Parish, Louisiana",46045
"Jefferson Parish, Louisiana",49576
"Jefferson Davis Parish, Louisiana",42539
"Lafayette Parish, Louisiana",51981
"Lafourche Parish, Louisiana",52589
"Lincoln Parish, Louisiana",32832
"Livingston Parish, Louisiana",58677
"Morehouse Parish, Louisiana",30050
"Natchitoches Parish, Louisiana",27977
"Orleans Parish, Louisiana",39077
"Ouachita Parish, Louisiana",36709
"Plaquemines Parish, Louisiana",35444
"Pointe Coupee Parish, Louisiana",40826
"Rapides Parish, Louisiana",43222
"Richland Parish, Louisiana",33028
"Sabine Parish, Louisiana",42464
"St. Bernard Parish, Louisiana",41971
"St. Charles Parish, Louisiana",61502
"St. James Parish, Louisiana",57753
"St. John the Baptist Parish, Louisiana",53502
"St. Landry Parish, Louisiana",30286
"St. Martin Parish, Louisiana",45418
"St. Mary Parish, Louisiana",40752
"St. Tammany Parish, Louisiana",63180
"Tangipahoa Parish, Louisiana",42962
"Terrebonne Parish, Louisiana",41786
"Union Parish, Louisiana",34032
"Vermilion Parish, Louisiana",46658
"Vernon Parish, Louisiana",43478
"Washington Parish, Louisiana",30095
"Webster Parish, Louisiana",30972
"West Baton Rouge Parish, Louisiana",59936
"Androscoggin County, Maine",50338
"Aroostook County, Maine",36596
"Cumberland County, Maine",64215
"Franklin County, Maine",44083
"Hancock County, Maine",49790
"Kennebec County, Maine",51335
"Knox County, Maine",47136
"Lincoln County, Maine",50767
"Oxford County, Maine",42475
"Penobscot County, Maine",44173
"Sagadahoc County, Maine",55200
"Somerset County, Maine",39504
"Waldo County, Maine",42312
"Washington County, Maine",35944
"York County, Maine",61613
"Allegany County, Maryland",38281
"Anne Arundel County, Maryland",91230
"Baltimore County, Maryland",68775
"Calvert County, Maryland",106247
"Caroline County, Maryland",53725
"Carroll County, Maryland",84887
"Cecil County, Maryland",70676
"Charles County, Maryland",88700
"Dorchester County, Maryland",50337
"Frederick County, Maryland",83819
"Garrett County, Maryland",46665
"Harford County, Maryland",78050
"Howard County, Maryland",110892
"Montgomery County, Maryland",98917
"Prince George's County, Maryland",76741
"Queen Anne's County, Maryland",91250
"St. Mary's County, Maryland",85163
"Somerset County, Maryland",43926
"Talbot County, Maryland",65867
"Washington County, Maryland",55979
"Wicomico County, Maryland",54781
"Worcester County, Maryland",54153
"Baltimore city, Maryland",44165
"Barnstable County, Massachusetts",66102
"Berkshire County, Massachusetts",50765
"Bristol County, Massachusetts",60183
"Essex County, Massachusetts",68455
"Franklin County, Massachusetts",58613
