Name,Median Household Income
"Finney County, Kansas",57056
"Ford County, Kansas",47115
"Franklin County, Kansas",52125
"Geary County, Kansas",45713
"Harvey County, Kansas",54538
"Johnson County, Kansas",82892
"Labette County, Kansas",46538
"Leavenworth County, Kansas",60423
"Lyon County, Kansas",37587
"McPherson County, Kansas",63032
"Miami County, Kansas",58603
"Montgomery County, Kansas",44619
"Pottawatomie County, Kansas",56297
"Reno County, Kansas",47376
"Riley County, Kansas",46677
"Saline County, Kansas",45684
"Sedgwick County, Kansas",50840
"Seward County, Kansas",40747
"Shawnee County, Kansas",51123
"Sumner County, Kansas",52311
"Wyandotte County, Kansas",41800
"Allen County, Kentucky",45023
"Anderson County, Kentucky",52791
"Barren County, Kentucky",38649
"Bell County, Kentucky",17257
"Boone County, Kentucky",67047
"Bourbon County, Kentucky",51774
"Boyd County, Kentucky",45204
"Boyle County, Kentucky",33277
"Breckinridge County, Kentucky",42655
"Bullitt County, Kentucky",53434
"Calloway County, Kentucky",39401
"Campbell County, Kentucky",51208
"Carter County, Kentucky",37914
"Christian County, Kentucky",39827
"Clark County, Kentucky",59560
"Clay County, Kentucky",19752
"Daviess County, Kentucky",48791
"Autauga County, Alabama",58892
"Baldwin County, Alabama",52003
"Barbour County, Alabama",29155
"Bibb County, Alabama",33163
"Blount County, Alabama",53491
"Butler County, Alabama",33657
"Calhoun County, Alabama",42346
"Chambers County, Alabama",35139
"Cherokee County, Alabama",37520
"Chilton County, Alabama",42083
"Clarke County, Alabama",32623
"Coffee County, Alabama",45608
"Colbert County, Alabama",37589
"Covington County, Alabama",36770
"Cullman County, Alabama",37862
"Dale County, Alabama",48672
"Dallas County, Alabama",29820
"DeKalb County, Alabama",36559
"Elmore County, Alabama",52502
"Escambia County, Alabama",34520
"Etowah County, Alabama",43346
"Franklin County, Alabama",40773
"Geneva County, Alabama",37268
"Houston County, Alabama",43553
"Jackson County, Alabama",39467
"Jefferson County, Alabama",48492
"Lauderdale County, Alabama",42577
"Lawrence County, Alabama",40829
"Lee County, Alabama",46589
"Limestone County, Alabama",55009
"Madison County, Alabama",58636
"Marengo County, Alabama",30389
"Marion County, Alabama",32295
"Marshall County, Alabama",40525
"Mobile County, Alabama",42699
"Monroe County, Alabama",19704
"Montgomery County, Alabama",42477
"Morgan County, Alabama",47229
"Pickens County, Alabama",26998
"Pike County, Alabama",32584
"Randolph County, Alabama",35432
"Russell County, Alabama",35189
"St. Clair County, Alabama",54484
"Shelby County, Alabama",70192
"Talladega County, Alabama",34451
"Tallapoosa County, Alabama",39244
"Tuscaloosa County, Alabama",49067
"Walker County, Alabama",35056
"Winston County, Alabama",34955
"Anchorage Municipality, Alaska",78662
"Fairbanks North Star Borough, Alaska",72975
"Juneau City and Borough, Alaska",86110
"Kenai Peninsula Borough, Alaska",58683
"Matanuska-Susitna Borough, Alaska",76427
