Name,Median Household Income,Life Expectancy
"Morgan County, Indiana",58755,76.26923076923077
"Noble County, Indiana",51285,77.9
"Owen County, Indiana",41330,76.94
"Porter County, Indiana",63807,77.66071428571429
"Posey County, Indiana",55903,77.88571428571427
"Putnam County, Indiana",60233,77.75714285714285
"Randolph County, Indiana",39926,78.4
"Ripley County, Indiana",50534,78.21666666666665
"St. Joseph County, Indiana",46552,76.45714285714288
"Scott County, Indiana",41732,73.47999999999999
"Shelby County, Indiana",57955,77.64444444444445
"Spencer County, Indiana",56059,80.74
"Starke County, Indiana",50696,73.91428571428571
"Steuben County, Indiana",55474,78.5625
"Sullivan County, Indiana",46964,77.92
"Tippecanoe County, Indiana",50224,78.47419354838712
"Vanderburgh County, Indiana",42564,75.38695652173912
"Vigo County, Indiana",38632,74.74642857142858
"Wabash County, Indiana",47684,76.5625
"Warrick County, Indiana",65138,79.33636363636364
"Washington County, Indiana",40432,74.98333333333333
"Wayne County, Indiana",42160,76.08235294117647
"Wells County, Indiana",57743,80.24285714285713
"White County, Indiana",52121,78.625
"Whitley County, Indiana",55375,80.62857142857142
"Benton County, Iowa",68354,80.77142857142857
"Black Hawk County, Iowa",50169,77.95294117647059
"Boone County, Iowa",58169,80.45714285714287
"Bremer County, Iowa",67216,81.0375
"Buchanan County, Iowa",55101,79.06666666666668
"Buena Vista County, Iowa",52435,80.11666666666666
"Carroll County, Iowa",58838,80.13333333333334
"Cerro Gordo County, Iowa",50044,80.41000000000001
"Clinton County, Iowa",54444,77.90833333333333
"Dallas County, Iowa",78634,81.52666666666664
"Des Moines County, Iowa",49884,78.48181818181818
"Dubuque County, Iowa",58487,79.00769230769232
"Fayette County, Iowa",48482,78.41428571428571
"Henry County, Iowa",48810,79.75999999999999
"Jasper County, Iowa",52632,79.04444444444445
"Johnson County, Iowa",55913,82.14210526315792
"Jones County, Iowa",58610,80.84
"Lee County, Iowa",42370,76.92727272727271
"Linn County, Iowa",57073,79.32954545454548
"Mahaska County, Iowa",48979,78.22857142857143
"Marion County, Iowa",52449,78.675
"Marshall County, Iowa",56250,79.03999999999999
"Muscatine County, Iowa",50453,80.15
"Plymouth County, Iowa",58869,80.75
"Polk County, Iowa",60176,78.43260869565216
"Pottawattamie County, Iowa",53117,78.57333333333331
"Scott County, Iowa",57831,78.36808510638298
"Sioux County, Iowa",61220,82.17142857142858
"Story County, Iowa",50811,81.0923076923077
"Wapello County, Iowa",45027,77.30909090909091
"Warren County, Iowa",65340,79.71666666666665
"Washington County, Iowa",51124,79.9
"Webster County, Iowa",40177,76.50833333333333
"Winneshiek County, Iowa",61017,82.03999999999999
"Woodbury County, Iowa",51146,77.46799999999999
"Barton County, Kansas",53717,78.4125
"Butler County, Kansas",60714,77.57692307692307
"Cherokee County, Kansas",35963,74.63333333333334
"Cowley County, Kansas",49741,76.38181818181819
"Crawford County, Kansas",37217,76.60909090909091
"Douglas County, Kansas",52964,80.145
"Ellis County, Kansas",48004,79.10000000000001
"Finney County, Kansas",57056,77.97999999999999
"Ford County, Kansas",47115,79.94285714285715
"Franklin County, Kansas",52125,77.14
"Geary County, Kansas",45713,76.95714285714287
"Harvey County, Kansas",54538,79.73333333333333
"Johnson County, Kansas",82892,80.71810344827583
"Labette County, Kansas",46538,75.15
"Leavenworth County, Kansas",60423,77.33571428571429
"Lyon County, Kansas",37587,78.08749999999999
"McPherson County, Kansas",63032,78.97142857142856
"Miami County, Kansas",58603,79.7
"Montgomery County, Kansas",44619,75.72307692307693
"Pottawatomie County, Kansas",56297,79.825
"Reno County, Kansas",47376,76.80588235294117
"Riley County, Kansas",46677,80.88888888888889
"Saline County, Kansas",45684,78.03333333333333
"Sedgwick County, Kansas",50840,76.97768595041326
"Seward County, Kansas",40747,79.675
"Shawnee County, Kansas",51123,77.51162790697674
"Sumner County, Kansas",52311,76.98333333333333
"Wyandotte County, Kansas",41800,75.16545454545455
"Allen County, Kentucky",45023,74.53333333333335
"Anderson County, Kentucky",52791,75.86000000000001
"Barren County, Kentucky",38649,75.76
"Bell County, Kentucky",17257,74.21111111111111
"Boone County, Kentucky",67047,78.43333333333332
"Bourbon County, Kentucky",51774,76.97999999999999
"Boyd County, Kentucky",45204,74.49999999999999
"Boyle County, Kentucky",33277,76.5142857142857
"Breckinridge County, Kentucky",42655,74.86666666666666
"Bullitt County, Kentucky",53434,77.06428571428572
"Calloway County, Kentucky",39401,75.85000000000001
"Campbell County, Kentucky",51208,76.29166666666667
"Carter County, Kentucky",37914,75.28571428571429
"Christian County, Kentucky",39827,75.24285714285713
"Clark County, Kentucky",59560,74.73
"Clay County, Kentucky",19752,72.375
"Daviess County, Kentucky",48791,76.6
"Autauga County, Alabama",58892,75.32000000000001
"Baldwin County, Alabama",52003,77.48275862068964
"Barbour County, Alabama",29155,73.97142857142856
"Bibb County, Alabama",33163,73.55
"Blount County, Alabama",53491,76.07777777777777
"Butler County, Alabama",33657,73.3875
"Calhoun County, Alabama",42346,73.13600000000001
"Chambers County, Alabama",35139,73.6111111111111
"Cherokee County, Alabama",37520,74.08333333333333
"Chilton County, Alabama",42083,73.92222222222223
"Clarke County, Alabama",32623,74.38750000000002
"Coffee County, Alabama",45608,76.5357142857143
"Colbert County, Alabama",37589,73.62857142857145
"Covington County, Alabama",36770,74.93076923076923
"Cullman County, Alabama",37862,75.15000000000002
"Dale County, Alabama",48672,76.45384615384616
"Dallas County, Alabama",29820,72.47333333333334
"DeKalb County, Alabama",36559,75.02142857142856
"Elmore County, Alabama",52502,75.49230769230768
"Escambia County, Alabama",34520,73.525
"Etowah County, Alabama",43346,72.52142857142857
"Franklin County, Alabama",40773,73.36666666666667
"Geneva County, Alabama",37268,74.81666666666666
"Houston County, Alabama",43553,75.9681818181818
"Jackson County, Alabama",39467,73.57272727272726
"Jefferson County, Alabama",48492,74.16369426751592
"Lauderdale County, Alabama",42577,74.65454545454546
"Lawrence County, Alabama",40829,73.74285714285715
"Lee County, Alabama",46589,77.54782608695652
"Limestone County, Alabama",55009,75.98125000000002
"Madison County, Alabama",58636,76.79852941176472
"Marengo County, Alabama",30389,75.2
"Marion County, Alabama",32295,74.35714285714286
"Marshall County, Alabama",40525,74.83333333333336
"Mobile County, Alabama",42699,74.15961538461536
"Monroe County, Alabama",19704,75.04285714285713
"Montgomery County, Alabama",42477,74.52037037037037
"Morgan County, Alabama",47229,75.64999999999999
"Pickens County, Alabama",26998,74.32
"Pike County, Alabama",32584,75.42857142857143
"Randolph County, Alabama",35432,74.45
"Russell County, Alabama",35189,72.80000000000001
"St. Clair County, Alabama",54484,74.70833333333333
"Shelby County, Alabama",70192,78.35555555555557
"Talladega County, Alabama",34451,72.72272727272728
"Tallapoosa County, Alabama",39244,74.71000000000001
"Tuscaloosa County, Alabama",49067,75.02142857142857
"Walker County, Alabama",35056,71.43888888888888
"Winston County, Alabama",34955,74.98333333333333
"Anchorage Municipality, Alaska",78662,78.03469387755102
"Fairbanks North Star Borough, Alaska",72975,78.10624999999999
"Juneau City and Borough, Alaska",86110,81.16666666666666
"Kenai Peninsula Borough, Alaska",58683,80.16666666666667
"Matanuska-Susitna Borough, Alaska",76427,78.98695652173912
"Apache County, Arizona",29417,75.74374999999999
"Cochise County, Arizona",43291,78.1642857142857
"Coconino County, Arizona",53152,78.92399999999999
"Gila County, Arizona",41781,78.5076923076923
"Graham County, Arizona",43512,78.25555555555556
"La Paz County, Arizona",36952,76.72857142857143
"Maricopa County, Arizona",56004,78.58918205804753
"Mohave County, Arizona",40908,75.09729729729727
"Navajo County, Arizona",37833,76.65862068965515
"Pima County, Arizona",47099,78.30590909090911
"Pinal County, Arizona",50770,78.60322580645162
"Santa Cruz County, Arizona",31632,81.5
"Yavapai County, Arizona",48105,78.81578947368422
"Yuma County, Arizona",40539,78.11521739130436
"Ashley County, Arkansas",40330,76.23333333333333
"Baxter County, Arkansas",36208,75.2625
"Benton County, Arkansas",58770,78.14042553191489
"Boone County, Arkansas",41017,76.48571428571428
"Carroll County, Arkansas",38903,76.96000000000001
"Clark County, Arkansas",36117,74.97999999999999
"Cleburne County, Arkansas",45316,76.71428571428571
"Columbia County, Arkansas",36605,77.14000000000001
"Conway County, Arkansas",44615,75.05
"Craighead County, Arkansas",40085,75.78235294117648
"Crawford County, Arkansas",47641,75.52727272727273
"Crittenden County, Arkansas",37430,73.30625
"Faulkner County, Arkansas",50596,76.0086956521739
"Garland County, Arkansas",37013,74.28421052631579
"Greene County, Arkansas",44933,75.60000000000001
"Hempstead County, Arkansas",33790,76.72
"Hot Spring County, Arkansas",33024,73.41428571428571
"Independence County, Arkansas",32091,76.55714285714285
"Jefferson County, Arkansas",35381,73.21739130434784
"Johnson County, Arkansas",33493,77.31666666666666
"Logan County, Arkansas",37312,75.88333333333333
"Lonoke County, Arkansas",56893,74.99999999999999
"Miller County, Arkansas",37180,73.22727272727273
"Mississippi County, Arkansas",32554,74.35833333333333
"Ouachita County, Arkansas",37080,75.45
"Poinsett County, Arkansas",31701,72.45714285714287
"Polk County, Arkansas",34096,75.8
"Pope County, Arkansas",36392,76.46363636363637
"Pulaski County, Arkansas",46070,75.63522727272728
"St. Francis County, Arkansas",34668,75.21666666666667
"Saline County, Arkansas",55051,76.67999999999998
"Sebastian County, Arkansas",40448,75.7
"Union County, Arkansas",41847,74.11
"Washington County, Arkansas",46160,77.92000000000002
"White County, Arkansas",38986,75.60000000000001
"Yell County, Arkansas",37078,75.88
"Alameda County, California",81717,80.84585798816569
"Amador County, California",57400,79.19999999999999
"Butte County, California",45644,77.70204081632654
"Calaveras County, California",48329,80.83333333333333
"Colusa County, California",57616,80.22
"Contra Costa County, California",83104,80.81333333333333
"Del Norte County, California",40873,76.48571428571428
"El Dorado County, California",79019,80.75945945945946
"Fresno County, California",46949,78.38848167539267
"Glenn County, California",34197,80.95
"Humboldt County, California",40484,78.19999999999997
"Imperial County, California",40852,80.02413793103447
"Kern County, California",51342,76.83134328358211
"Kings County, California",45746,78.425
"Lake County, California",37294,74.82142857142857
"Lassen County, California",60622,76.425
"Los Angeles County, California",59134,80.56164009111592
"Madera County, California",47150,77.90454545454546
"Marin County, California",100662,83.38823529411765
"Mendocino County, California",41896,79.235
"Merced County, California",41997,78.28958333333334
"Monterey County, California",60494,80.84186046511627
"Napa County, California",75513,81.33333333333334
"Nevada County, California",54177,80.04736842105261
"Orange County, California",78428,81.6575925925925
"Placer County, California",75708,80.3185714285714
"Riverside County, California",58292,79.0438679245283
"Sacramento County, California",58942,78.71533333333339
"San Benito County, California",86268,82.39999999999999
"San Bernardino County, California",53803,78.17443181818186
"San Diego County, California",67320,80.76333907056798
"San Francisco County, California",92094,81.78636363636367
"San Joaquin County, California",53705,77.47028985507248
"San Luis Obispo County, California",62648,80.25581395348836
"San Mateo County, California",101272,82.73947368421052
"Santa Barbara County, California",63625,81.34375
"Santa Clara County, California",102340,82.653125
"Santa Cruz County, California",65139,81.41063829787234
"Shasta County, California",46693,76.77446808510635
"Siskiyou County, California",36120,78.87500000000001
"Solano County, California",67443,78.8011235955056
"Sonoma County, California",66674,80.59052631578949
"Stanislaus County, California",52363,77.62197802197798
"Sutter County, California",52277,78.635
"Tehama County, California",38046,77.2909090909091
"Tulare County, California",42413,77.98831168831167
"Tuolumne County, California",55792,79.46666666666665
"Ventura County, California",80032,81.01987577639747
"Yolo County, California",58966,80.6142857142857
"Yuba County, California",50451,75.96923076923078
"Adams County, Colorado",63493,77.97752808988766
"Arapahoe County, Colorado",67002,79.71190476190473
"Boulder County, Colorado",72009,81.55576923076924
"Broomfield County, Colorado",84921,80.91538461538461
"Delta County, Colorado",40236,78.88571428571429
"Denver County, Colorado",58003,78.5230769230769
"Douglas County, Colorado",107650,82.07647058823527
"Eagle County, Colorado",74161,82.4
"Elbert County, Colorado",93613,80.51428571428572
"El Paso County, Colorado",60109,79.04196428571429
"Fremont County, Colorado",39309,76.13636363636364
"Garfield County, Colorado",63233,81.27
"Jefferson County, Colorado",71136,79.94049586776863
"La Plata County, Colorado",60817,81.72
"Larimer County, Colorado",64919,80.54590163934425
"Logan County, Colorado",42236,78.18333333333334
"Mesa County, Colorado",51465,78.41851851851851
"Montezuma County, Colorado",40093,80.82857142857144
"Montrose County, Colorado",45175,79.38
"Morgan County, Colorado",49909,79.7125
"Pueblo County, Colorado",40050,76.36078431372549
"Routt County, Colorado",71079,81.7625
"Summit County, Colorado",73146,82.05000000000001
"Teller County, Colorado",72500,80.38
"Weld County, Colorado",70256,79.29666666666665
"Fairfield County, Connecticut",86414,81.4990147783251
"Hartford County, Connecticut",69622,79.47914691943129
"Litchfield County, Connecticut",70667,80.0891304347826
"Middlesex County, Connecticut",83530,80.74117647058824
"New Haven County, Connecticut",61760,79.28777777777778
"New London County, Connecticut",65764,79.57903225806453
"Tolland County, Connecticut",82168,81.025
"Windham County, Connecticut",62905,79.36521739130434
"Kent County, Delaware",56778,76.8
"New Castle County, Delaware",66256,77.77073170731705
"Sussex County, Delaware",55065,78.48260869565217
"District of Columbia, District of Columbia",75628,76.40787878787886
"Alachua County, Florida",47895,77.9452380952381
"Baker County, Florida",60259,75.95
"Bay County, Florida",48259,75.825641025641
"Bradford County, Florida",41995,76.2
"Brevard County, Florida",50416,77.31481481481484
"Broward County, Florida",53926,79.3005970149254
"Charlotte County, Florida",45492,78.725
"Citrus County, Florida",40294,75.06296296296297
"Clay County, Florida",58676,77.18620689655172
